,Unnamed: 0,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,戶數,人口數,男性人口數,女性人口數,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,幼年人口(0~14),青年人口(15~24),壯年人口(25~44),中年人口(45~64),老年人口(65~),資料時間
1223,1223,63000,臺北市,63000050,中正區,63000050-023,光復里,1883,3796,1783,2013,88.57,2.02,12210.66,52.63,24.13,28.51,118.17,600,363,1032,1092,709,111Y09M
1224,1224,63000,臺北市,63000050,中正區,63000050-024,黎明里,1583,3248,1564,1684,92.87,2.05,5260.52,54.23,27.73,26.5,95.55,584,308,867,931,558,111Y09M
1225,1225,63000,臺北市,63000050,中正區,63000050-025,梅花里,1360,2908,1338,1570,85.22,2.14,6492.19,55.59,16.21,39.38,242.9,303,239,725,905,736,111Y09M
1226,1226,63000,臺北市,63000050,中正區,63000050-026,幸福里,2855,5513,2788,2725,102.31,1.93,19135.65,56.93,17.16,39.77,231.67,603,473,1269,1771,1397,111Y09M
1227,1227,63000,臺北市,63000050,中正區,63000050-027,幸市里,1866,3988,1869,2119,88.2,2.14,24123.35,61.98,17.63,44.35,251.61,434,285,992,1185,1092,111Y09M
1228,1228,63000,臺北市,63000050,中正區,63000050-028,東門里,1610,3683,1764,1919,91.92,2.29,4928.49,62.1,28.08,34.02,121.16,638,323,970,979,773,111Y09M
1229,1229,63000,臺北市,63000050,中正區,63000050-029,文北里,2245,5320,2502,2818,88.79,2.37,30969.12,65.27,28.05,37.22,132.67,903,428,1269,1522,1198,111Y09M
1230,1230,63000,臺北市,63000050,中正區,63000050-030,文祥里,3086,7965,3802,4163,91.33,2.58,68594.61,63.59,36.06,27.52,76.31,1756,698,1992,2179,1340,111Y09M
1231,1231,63000,臺北市,63000050,中正區,63000050-031,三愛里,3494,8517,3908,4609,84.79,2.44,40528.19,63.73,29.91,33.81,113.05,1556,752,2020,2430,1759,111Y09M
1232,1232,63000,臺北市,63000060,大同區,63000060-001,玉泉里,1209,2737,1348,1389,97.05,2.26,8354.55,50.88,15.05,35.83,238.1,273,238,764,812,650,111Y09M
1233,1233,63000,臺北市,63000060,大同區,63000060-002,建明里,1463,3037,1427,1610,88.63,2.08,20286.56,54.08,16.64,37.44,225.0,328,237,825,909,738,111Y09M
1234,1234,63000,臺北市,63000060,大同區,63000060-003,建功里,2080,4570,2166,2404,90.1,2.2,37270.53,52.23,18.72,33.51,179.0,562,342,1344,1316,1006,111Y09M
1235,1235,63000,臺北市,63000060,大同區,63000060-004,建泰里,1548,3514,1676,1838,91.19,2.27,28228.53,56.67,23.63,33.04,139.81,530,308,993,942,741,111Y09M
1236,1236,63000,臺北市,63000060,大同區,63000060-005,永樂里,2229,4921,2462,2459,100.12,2.21,21976.6,50.63,16.93,33.7,199.1,553,429,1382,1456,1101,111Y09M
1237,1237,63000,臺北市,63000060,大同區,63000060-006,朝陽里,1964,4097,1925,2172,88.63,2.09,39661.95,45.65,12.83,32.81,255.68,361,362,1182,1269,923,111Y09M
1238,1238,63000,臺北市,63000060,大同區,63000060-007,星明里,2555,5847,2757,3090,89.22,2.29,37589.44,51.2,24.23,26.97,111.31,937,480,1724,1663,1043,111Y09M
1239,1239,63000,臺北市,63000060,大同區,63000060-008,光能里,2025,5012,2409,2603,92.55,2.48,41158.89,53.41,24.98,28.44,113.85,816,467,1387,1413,929,111Y09M
1240,1240,63000,臺北市,63000060,大同區,63000060-009,大有里,1805,4326,2093,2233,93.73,2.4,18107.77,49.95,17.02,32.93,193.48,491,361,1256,1268,950,111Y09M
1241,1241,63000,臺北市,63000060,大同區,63000060-010,延平里,1872,3870,1852,2018,91.77,2.07,41879.49,47.99,14.15,33.84,239.19,370,304,1084,1227,885,111Y09M
1242,1242,63000,臺北市,63000060,大同區,63000060-011,雙連里,3748,9065,4322,4743,91.12,2.42,43112.88,50.73,23.55,27.19,115.47,1416,839,2504,2671,1635,111Y09M
