,Unnamed: 0,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,戶數,人口數,男性人口數,女性人口數,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,幼年人口(0~14),青年人口(15~24),壯年人口(25~44),中年人口(45~64),老年人口(65~),資料時間
489,489,65000,新北市,65000060,新店區,65000060-006,寶興里,2614,5377,2511,2866,87.61,2.06,16957.06,43.58,11.94,31.64,265.1,447,478,1420,1847,1185,111Y09M
490,490,65000,新北市,65000060,新店區,65000060-007,寶安里,2554,5157,2363,2794,84.57,2.02,39180.38,47.6,9.62,37.98,394.94,336,353,1412,1729,1327,111Y09M
491,491,65000,新北市,65000060,新店區,65000060-008,信義里,3140,6338,3000,3338,89.87,2.02,31431.01,36.68,6.84,29.85,436.59,317,581,1685,2371,1384,111Y09M
492,492,65000,新北市,65000060,新店區,65000060-009,忠孝里,1319,2715,1289,1426,90.39,2.06,11396.31,39.52,8.99,30.52,339.43,175,225,721,1000,594,111Y09M
493,493,65000,新北市,65000060,新店區,65000060-010,大鵬里,1258,2601,1252,1349,92.81,2.07,22942.58,42.05,7.54,34.52,457.97,138,251,598,982,632,111Y09M
494,494,65000,新北市,65000060,新店區,65000060-011,太平里,1428,3056,1434,1622,88.41,2.14,3633.9,37.53,10.35,27.18,262.61,230,309,813,1100,604,111Y09M
495,495,65000,新北市,65000060,新店區,65000060-012,頂城里,692,1616,851,765,111.24,2.34,1805.97,44.41,10.28,34.14,332.17,115,145,463,511,382,111Y09M
496,496,65000,新北市,65000060,新店區,65000060-013,下城里,1413,3348,1702,1646,103.4,2.37,1272.67,44.19,16.11,28.08,174.33,374,345,758,1219,652,111Y09M
497,497,65000,新北市,65000060,新店區,65000060-014,柴埕里,3762,9332,4518,4814,93.85,2.48,6277.27,36.03,15.69,20.35,129.74,1076,1009,2703,3148,1396,111Y09M
498,498,65000,新北市,65000060,新店區,65000060-015,永安里,1997,5134,2494,2640,94.47,2.57,21030.55,38.27,13.84,24.43,176.46,514,517,1579,1617,907,111Y09M
499,499,65000,新北市,65000060,新店區,65000060-016,公崙里,5639,13913,6682,7231,92.41,2.47,8019.38,38.62,18.2,20.41,112.15,1827,1386,4303,4348,2049,111Y09M
500,500,65000,新北市,65000060,新店區,65000060-017,德安里,2323,6137,3034,3103,97.78,2.64,1702.29,36.56,13.51,23.05,170.68,607,651,1748,2095,1036,111Y09M
501,501,65000,新北市,65000060,新店區,65000060-018,雙城里,2243,5838,2956,2882,102.57,2.6,915.43,42.53,14.26,28.27,198.29,584,550,1802,1744,1158,111Y09M
502,502,65000,新北市,65000060,新店區,65000060-019,日興里,2301,5847,2934,2913,100.72,2.54,1144.84,36.8,11.53,25.27,219.07,493,563,1791,1920,1080,111Y09M
503,503,65000,新北市,65000060,新店區,65000060-020,玫瑰里,2334,5986,2880,3106,92.72,2.56,32376.36,37.96,12.4,25.56,206.13,538,598,1837,1904,1109,111Y09M
504,504,65000,新北市,65000060,新店區,65000060-021,塗潭里,366,1047,552,495,111.52,2.86,129.94,48.09,11.88,36.21,304.76,84,102,259,346,256,111Y09M
505,505,65000,新北市,65000060,新店區,65000060-022,美潭里,2159,5219,2540,2679,94.81,2.42,3580.19,39.32,12.6,26.72,212.08,472,529,1388,1829,1001,111Y09M
506,506,65000,新北市,65000060,新店區,65000060-023,員潭里,2311,5276,2602,2674,97.31,2.28,1111.37,35.91,12.26,23.65,192.86,476,469,1560,1853,918,111Y09M
507,507,65000,新北市,65000060,新店區,65000060-024,雙坑里,308,808,446,362,123.2,2.62,78.68,51.88,12.03,39.85,331.25,64,67,192,273,212,111Y09M
508,508,65000,新北市,65000060,新店區,65000060-025,粗坑里,1341,3026,1463,1563,93.6,2.26,471.81,43.75,11.21,32.54,290.25,236,301,733,1071,685,111Y09M
509,509,65000,新北市,65000060,新店區,65000060-026,屈尺里,951,2486,1246,1240,100.48,2.61,214.4,50.94,9.11,41.83,459.33,150,208,637,802,689,111Y09M
510,510,65000,新北市,65000060,新店區,65000060-027,龜山里,721,1694,848,846,100.24,2.35,220.05,47.43,8.79,38.64,439.6,101,128,424,597,444,111Y09M
511,511,65000,新北市,65000060,新店區,65000060-028,廣興里,595,1355,742,613,121.04,2.28,58.09,54.15,9.56,44.6,466.67,84,93,301,485,392,111Y09M
512,512,65000,新北市,65000060,新店區,65000060-029,直潭里,496,1282,680,602,112.96,2.58,432.5,45.35,9.75,35.6,365.12,86,105,325,452,314,111Y09M
513,513,65000,新北市,65000060,新店區,65000060-030,青潭里,2292,5415,2607,2808,92.84,2.36,3438.69,37.19,12.69,24.5,193.01,501,525,1542,1880,967,111Y09M
514,514,65000,新北市,65000060,新店區,65000060-031,新店里,827,1790,886,904,98.01,2.16,13807.15,46.12,11.59,34.53,297.89,142,173,448,604,423,111Y09M
515,515,65000,新北市,65000060,新店區,65000060-032,張南里,1309,2337,1022,1315,77.72,1.79,18498.88,44.53,9.96,34.57,347.2,161,185,659,773,559,111Y09M
516,516,65000,新北市,65000060,新店區,65000060-033,國校里,1121,2585,1276,1309,97.48,2.31,7712.14,37.57,11.81,25.76,218.02,222,286,670,923,484,111Y09M
517,517,65000,新北市,65000060,新店區,65000060-034,文中里,843,1805,872,933,93.46,2.14,5136.61,41.57,13.33,28.24,211.76,170,148,511,616,360,111Y09M
518,518,65000,新北市,65000060,新店區,65000060-035,廣明里,399,790,385,405,95.06,1.98,5575.51,45.22,10.66,34.56,324.14,58,55,246,243,188,111Y09M
519,519,65000,新北市,65000060,新店區,65000060-036,文明里,1078,2415,1139,1276,89.26,2.24,36643.1,45.57,9.4,36.17,384.62,156,229,626,804,600,111Y09M
520,520,65000,新北市,65000060,新店區,65000060-037,中興里,4248,7461,3914,3547,110.35,1.76,16367.69,42.49,9.15,33.35,364.51,479,513,1835,2888,1746,111Y09M
521,521,65000,新北市,65000060,新店區,65000060-038,新生里,2557,5578,2610,2968,87.94,2.18,30129.85,46.94,11.49,35.46,308.72,436,480,1409,1907,1346,111Y09M
